"artist_name","track_name","album_name","album_release_date","year"
"The Beatles","A Hard Day's Night","A Hard Days Night","1964-07-10",1964
"The Beatles","I Should Have Known Better","A Hard Days Night","1964-07-10",1964
"The Beatles","If I Fell","A Hard Days Night","1964-07-10",1964
"The Beatles","I'm Happy Just To Dance With You","A Hard Days Night","1964-07-10",1964
"The Beatles","And I Love Her","A Hard Days Night","1964-07-10",1964
"The Beatles","Tell Me Why","A Hard Days Night","1964-07-10",1964
"The Beatles","Can't Buy Me Love","A Hard Days Night","1964-07-10",1964
"The Beatles","Any Time At All","A Hard Days Night","1964-07-10",1964
"The Beatles","I'll Cry Instead","A Hard Days Night","1964-07-10",1964
"The Beatles","Things We Said Today","A Hard Days Night","1964-07-10",1964
"The Beatles","When I Get Home","A Hard Days Night","1964-07-10",1964
"The Beatles","You Can't Do That","A Hard Days Night","1964-07-10",1964
"The Beatles","I'll Be Back","A Hard Days Night","1964-07-10",1964
"The Beatles","Come Together","Abbey Road","1969-09-26",1969
"The Beatles","Something","Abbey Road","1969-09-26",1969
"The Beatles","Maxwell's Silver Hammer","Abbey Road","1969-09-26",1969
"The Beatles","Oh! Darling","Abbey Road","1969-09-26",1969
"The Beatles","Octopus's Garden","Abbey Road","1969-09-26",1969
"The Beatles","I Want You (She's So Heavy)","Abbey Road","1969-09-26",1969
"The Beatles","Here Comes The Sun","Abbey Road","1969-09-26",1969
"The Beatles","Because","Abbey Road","1969-09-26",1969
"The Beatles","You Never Give Me Your Money","Abbey Road","1969-09-26",1969
"The Beatles","Sun King","Abbey Road","1969-09-26",1969
"The Beatles","Mean Mr Mustard","Abbey Road","1969-09-26",1969
"The Beatles","Polythene Pam","Abbey Road","1969-09-26",1969
"The Beatles","She Came In Through The Bathroom Window","Abbey Road","1969-09-26",1969
"The Beatles","Golden Slumbers","Abbey Road","1969-09-26",1969
"The Beatles","Carry That Weight","Abbey Road","1969-09-26",1969
"The Beatles","The End","Abbey Road","1969-09-26",1969
"The Beatles","Her Majesty","Abbey Road","1969-09-26",1969
"The Beatles","No Reply","Beatles For Sale","1964-12-04",1964
"The Beatles","I'm A Loser","Beatles For Sale","1964-12-04",1964
"The Beatles","Baby's In Black","Beatles For Sale","1964-12-04",1964
"The Beatles","Rock And Roll Music","Beatles For Sale","1964-12-04",1964
"The Beatles","I'll Follow The Sun","Beatles For Sale","1964-12-04",1964
"The Beatles","Mr Moonlight","Beatles For Sale","1964-12-04",1964
"The Beatles","Kansas City / Hey-Hey-Hey-Hey","Beatles For Sale","1964-12-04",1964
"The Beatles","Eight Days A Week","Beatles For Sale","1964-12-04",1964
"The Beatles","Words Of Love","Beatles For Sale","1964-12-04",1964
"The Beatles","Honey Don't","Beatles For Sale","1964-12-04",1964
"The Beatles","Every Little Thing","Beatles For Sale","1964-12-04",1964
"The Beatles","I Don't Want To Spoil The Party","Beatles For Sale","1964-12-04",1964
"The Beatles","What You're Doing","Beatles For Sale","1964-12-04",1964
"The Beatles","Everybody's Trying To Be My Baby","Beatles For Sale","1964-12-04",1964
