"","Artist","Songs","Decade","Links"
"1","connie francis",NA,1950,NA
"2","Ricky Nelson","Poor Little Fool",1950,"/theorytab/view/ricky-nelson/poor-little-fool"
"3","pat boone",NA,1950,NA
"4","frankie avalon",NA,1950,NA
"5","tommy edwards",NA,1950,NA
"6","fats domino",NA,1950,NA
"7","the everly brothers",NA,1950,NA
"8","johnny mathis",NA,1950,NA
"9","jimmie rodgers",NA,1950,NA
"10","duane eddy his twangy guitar and the rebels",NA,1950,NA
"11","paul anka",NA,1950,NA
"12","The Platters","Only You",1950,"/theorytab/view/the-platters/only-you"
"13","Bobby Darin","Artificial Flowers",1950,"/theorytab/view/bobby-darin/artificial-flowers"
"14","jack scott",NA,1950,NA
"15","brook benton",NA,1950,NA
"16","elvis presley with the jordanaires",NA,1950,NA
"17","Hozier","Jackie And Wilson",1950,"/theorytab/view/hozier/jackie-and-wilson"
"18","the kingston trio",NA,1950,NA
"19","the coasters",NA,1950,NA
"20","Chuck Berry","Johnny B Goode",1950,"/theorytab/view/chuck-berry/johnny-b-goode"
"21","Chuck Berry","Maybellene",1950,"/theorytab/view/chuck-berry/maybellene"
"22","Chuck Berry","My Ding-a-Ling",1950,"/theorytab/view/chuck-berry/my-ding-a-ling"
"23","conway twitty",NA,1950,NA
"24","Fabian Mazur","Thinking Bout U",1950,"/theorytab/view/fabian-mazur/thinking-bout-u"
"25","ritchie valens",NA,1950,NA
"26","Sam Cooke","Wonderful World",1950,"/theorytab/view/sam-cooke/wonderful-world"
"27","Sam Cooke","Another Saturday Night",1950,"/theorytab/view/sam-cooke/another-saturday-night"
"28","Sam Cooke","A Change Is Gonna Come",1950,"/theorytab/view/sam-cooke/a-change-is-gonna-come"
"29","clyde mcphatter",NA,1950,NA
"30","clyde mcphatter",NA,1950,NA
"31","dion & the belmonts",NA,1950,NA
"32","nat king cole",NA,1950,NA
"33","Johnny Cash","Ring of Fire",1950,"/theorytab/view/johnny-cash/ring-of-fire"
"34","Johnny Cash","Hurt",1950,"/theorytab/view/johnny-cash/hurt"
"35","Johnny Cash","I Walk The Line",1950,"/theorytab/view/johnny-cash/i-walk-the-line"
"36","Johnny Cash","You Are My Sunshine",1950,"/theorytab/view/johnny-cash/you-are-my-sunshine"
"37","Johnny Cash","Hey Porter",1950,"/theorytab/view/johnny-cash/hey-porter"
"38","Johnny Cash","Ain't No Grave",1950,"/theorytab/view/johnny-cash/aint-no-grave"
"39","Johnny Cash","The Man Comes Around",1950,"/theorytab/view/johnny-cash/the-man-comes-around"
"40","Johnny Cash","Solitary Man",1950,"/theorytab/view/johnny-cash/solitary-man"
"41","Johnny Cash","Folsom Prison Blues",1950,"/theorytab/view/johnny-cash/folsom-prison-blues"
"42","the crests",NA,1950,NA
"43","lavern baker",NA,1950,NA
"44","The Beatles","Hey Jude",1960,"/theorytab/view/the-beatles/hey-jude"
"45","The Beatles","A Day in the Life",1960,"/theorytab/view/the-beatles/a-day-in-the-life"
"46","The Beatles","Let It Be",1960,"/theorytab/view/the-beatles/let-it-be"
"47","The Beatles","Blackbird",1960,"/theorytab/view/the-beatles/blackbird"
"48","the beatles","a hard day's night",1960,"/theorytab/view/the-beatles/a-hard-days-night"
"49","The Beatles","Yesterday",1960,"/theorytab/view/the-beatles/yesterday"
"50","The Beatles","Here Comes the Sun",1960,"/theorytab/view/the-beatles/here-comes-the-sun"
"51","Oleg Berg","Let It Be in Minor Key -The Beatles",1960,"/theorytab/view/oleg-berg/let-it-be-in-minor-key--the-beatles"
"52","The Beatles","Across the Universe",1960,"/theorytab/view/the-beatles/across-the-universe"
"53","The Beatles","While My Guitar Gently Weeps",1960,"/theorytab/view/the-beatles/while-my-guitar-gently-weeps"
"54","The Beatles","Michelle",1960,"/theorytab/view/the-beatles/michelle"
"55","The Beatles","All My Loving",1960,"/theorytab/view/the-beatles/all-my-loving"
"56","The Beatles","Oh Darling",1960,"/theorytab/view/the-beatles/oh-darling"
"57","The Beatles","Eleanor Rigby",1960,"/theorytab/view/the-beatles/eleanor-rigby"
"58","The Beatles","Come Together",1960,"/theorytab/view/the-beatles/come-together"
"59","The Beatles","I Am the Walrus",1960,"/theorytab/view/the-beatles/i-am-the-walrus"
"60","The Beatles","When I'm Sixty-Four",1960,"/theorytab/view/the-beatles/when-im-sixty-four"
"61","The Beatles","I Want To Hold Your Hand",1960,"/theorytab/view/the-beatles/i-want-to-hold-your-hand"
"62","The Beatles","And I Love Her",1960,"/theorytab/view/the-beatles/and-i-love-her"
"63","The Beatles","Penny Lane",1960,"/theorytab/view/the-beatles/penny-lane"
"64","The Beatles","In My Life",1960,"/theorytab/view/the-beatles/in-my-life"
"65","The Beatles","I Should Have Known Better",1960,"/theorytab/view/the-beatles/i-should-have-known-better"
"66","The Beatles","Lovely Rita",1960,"/theorytab/view/the-beatles/lovely-rita"
"67","The Beatles","Ticket to Ride",1960,"/theorytab/view/the-beatles/ticket-to-ride"
"68","The Beatles","With A Little Help From My Friends",1960,"/theorytab/view/the-beatles/with-a-little-help-from-my-friends"
"69","The Beatles","For No One",1960,"/theorytab/view/the-beatles/for-no-one"
"70","The Beatles","Something",1960,"/theorytab/view/the-beatles/something"
"71","The Beatles","All Together Now",1960,"/theorytab/view/the-beatles/all-together-now"
"72","The Beatles","You Never Give Me Your Money",1960,"/theorytab/view/the-beatles/you-never-give-me-your-money"
"73","The Beatles","Octopus's Garden",1960,"/theorytab/view/the-beatles/octopuss-garden"
"74","The Beatles","Eight Days a Week",1960,"/theorytab/view/the-beatles/eight-days-a-week"
"75","The Beatles","Back In The USSR",1960,"/theorytab/view/the-beatles/back-in-the-ussr"
"76","The Beatles","Lady Madonna",1960,"/theorytab/view/the-beatles/lady-madonna"
"77","The Beatles","Mean Mr Mustard",1960,"/theorytab/view/the-beatles/mean-mr-mustard"
"78","The Beatles","You've Got To Hide Your Love Away",1960,"/theorytab/view/the-beatles/youve-got-to-hide-your-love-away"
"79","The Beatles","If I Fell",1960,"/theorytab/view/the-beatles/if-i-fell"
"80","The Beatles","For You Blue",1960,"/theorytab/view/the-beatles/for-you-blue"
"81","The Beatles","Hello Goodbye",1960,"/theorytab/view/the-beatles/norwegian-wood"
"82","The Beatles","Norwegian Wood",1960,"/theorytab/view/the-beatles/hello-goodbye"
"83","The Beatles","Day Tripper",1960,"/theorytab/view/the-beatles/day-tripper"
"84","The Beatles","Here There And Everywhere",1960,"/theorytab/view/the-beatles/here-there-and-everywhere"
"85","The Beatles","Twist And Shout",1960,"/theorytab/view/the-beatles/twist-and-shout"
"86","The Beatles","Mother Nature's Son",1960,"/theorytab/view/the-beatles/mother-natures-son"
"87","The Beatles","Strawberry Fields Forever",1960,"/theorytab/view/the-beatles/strawberry-fields-forever"
"88","The Beatles","I'm Looking Through You",1960,"/theorytab/view/the-beatles/im-looking-through-you"
"89","The Beatles","We Can Work It Out",1960,"/theorytab/view/the-beatles/we-can-work-it-out"
"90","The Beatles","Honey Pie",1960,"/theorytab/view/the-beatles/honey-pie"
"91","The Beatles","Things We Said Today",1960,"/theorytab/view/the-beatles/things-we-said-today"
"92","The Beatles","Tomorrow Never Knows",1960,"/theorytab/view/the-beatles/tomorrow-never-knows"
"93","The Beatles","Yellow Submarine",1960,"/theorytab/view/the-beatles/yellow-submarine"
"94","The Beatles","Lucy in the Sky with Diamonds",1960,"/theorytab/view/the-beatles/lucy-in-the-sky-with-diamonds"
"95","The Beatles","Besame Mucho",1960,"/theorytab/view/the-beatles/besame-mucho"
"96","The Beatles","Nowhere Man",1960,"/theorytab/view/the-beatles/nowhere-man"
"97","The Beatles","Cry Baby Cry",1960,"/theorytab/view/the-beatles/cry-baby-cry"
"98","The Beatles","Revolution",1960,"/theorytab/view/the-beatles/revolution"
"99","The Beatles","Get Back",1960,"/theorytab/view/the-beatles/get-back"
"100","The Beatles","The Fool on the Hill",1960,"/theorytab/view/the-beatles/the-fool-on-the-hill"
"101","The Beatles","Help",1960,"/theorytab/view/the-beatles/help"
"102","The Beatles","From Me To You",1960,"/theorytab/view/the-beatles/from-me-to-you"
"103","The Beatles","Ob-La-Di Ob-La-Da",1960,"/theorytab/view/the-beatles/ob-la-di-ob-la-da"
"104","The Beatles","Rocky Raccoon",1960,"/theorytab/view/the-beatles/rocky-raccoon"
"105","The Beatles","I Will",1960,"/theorytab/view/the-beatles/i-will"
"106","The Beatles","Happiness is a Warm Gun",1960,"/theorytab/view/the-beatles/happiness-is-a-warm-gun"
"107","The Beatles","She Loves You",1960,"/theorytab/view/the-beatles/she-loves-you"
"108","The Beatles","Hey Bulldog",1960,"/theorytab/view/the-beatles/hey-bulldog"
"109","The Beatles","Girl",1960,"/theorytab/view/the-beatles/girl"
"110","The Beatles","She's Leaving Home",1960,"/theorytab/view/the-beatles/shes-leaving-home"
"111","The Beatles","I Don't Want To Spoil The Party",1960,"/theorytab/view/the-beatles/i-dont-want-to-spoil-the-party"
"112","The Beatles","She Came in through the Bathroom Window",1960,"/theorytab/view/the-beatles/she-came-in-through-the-bathroom-window"
"113","The Beatles","ALL I'VE GOT TO DO",1960,"/theorytab/view/the-beatles/all-ive-got-to-do"
"114","The Beatles","Fixing A Hole",1960,"/theorytab/view/the-beatles/fixing-a-hole"
"115","The Beatles","Dear Prudence",1960,"/theorytab/view/the-beatles/dear-prudence"
"116","The Beatles","Your Mother Should Know",1960,"/theorytab/view/the-beatles/your-mother-should-know"
"117","The Beatles","Martha My Dear",1960,"/theorytab/view/the-beatles/martha-my-dear"
"118","The Beatles","Good Day Sunshine",1960,"/theorytab/view/the-beatles/good-day-sunshine"
"119","The Beatles","Only a Northern Song",1960,"/theorytab/view/the-beatles/only-a-northern-song"
"120","The Beatles","Sexy Sadie",1960,"/theorytab/view/the-beatles/sexy-sadie"
"121","The Beatles","I'm So Tired",1960,"/theorytab/view/the-beatles/im-so-tired"
"122","The Beatles","Elenor Rigby",1960,"/theorytab/view/the-beatles/elenor-rigby"
"123","The Beatles","Glass Onion",1960,"/theorytab/view/the-beatles/glass-onion"
"124","The Beatles","Maxwell's Silver Hammer",1960,"/theorytab/view/the-beatles/maxwells-silver-hammer"
"125","The Beatles","Two Of Us",1960,"/theorytab/view/the-beatles/two-of-us"
"126","The Beatles","Julia",1960,"/theorytab/view/the-beatles/julia"
"127","The Beatles","It Won't Be Long",1960,"/theorytab/view/the-beatles/it-wont-be-long"
"128","The Beatles","Paperback Writer",1960,"/theorytab/view/the-beatles/paperback-writer"
"129","The Beatles","Good Night",1960,"/theorytab/view/the-beatles/good-night"
"130","The Beatles","The End",1960,"/theorytab/view/the-beatles/the-end"
"131","The Beatles","The Night Before",1960,"/theorytab/view/the-beatles/the-night-before"
"132","The Beatles","The Continuing Story of Bungalow Bill",1960,"/theorytab/view/the-beatles/the-continuing-story-of-bungalow-bill"
"133","The Beatles","The Ballad of John and Yoko",1960,"/theorytab/view/the-beatles/the-ballad-of-john-and-yoko"
"134","The Beatles","I'm Happy Just To Dance With You",1960,"/theorytab/view/the-beatles/im-happy-just-to-dance-with-you"
"135","The Beatles","I've Just Seen A Face",1960,"/theorytab/view/the-beatles/ive-just-seen-a-face"
"136","The Beatles","Everybody's Got Something to Hide",1960,"/theorytab/view/the-beatles/everybodys-got-something-to-hide"
"137","The Beatles","Think For Yourself",1960,"/theorytab/view/the-beatles/think-for-yourself"
"138","The Beatles","What You're Doing",1960,"/theorytab/view/the-beatles/what-youre-doing"
"139","The Beatles","Sgt Pepper's Lonely Hearts Club Band",1960,"/theorytab/view/the-beatles/sgt-peppers-lonely-hearts-club-band"
"140","The Beatles","If I Needed Someone",1960,"/theorytab/view/the-beatles/if-i-needed-someone"
"141","The Beatles","Please Please Me",1960,"/theorytab/view/the-beatles/please-please-me"
"142","The Beatles","Hold Me Tight",1960,"/theorytab/view/the-beatles/hold-me-tight"
"143","The Beatles","I'm Only Sleeping",1960,"/theorytab/view/the-beatles/im-only-sleeping"
"144","The Beatles","Wait",1960,"/theorytab/view/the-beatles/wait"
"145","The Beatles","Love Me Do",1960,"/theorytab/view/the-beatles/love-me-do"
"146","The Beatles","Drive My Car",1960,"/theorytab/view/the-beatles/drive-my-car"
"147","The Beatles","Being For The Benefit Of Mr Kite",1960,"/theorytab/view/the-beatles/being-for-the-benefit-of-mr-kite"
"148","The Beatles","Taxman",1960,"/theorytab/view/the-beatles/taxman"
"149","The Beatles","Because",1960,"/theorytab/view/the-beatles/because"
"150","The Beatles","You Can't Do That",1960,"/theorytab/view/the-beatles/you-cant-do-that"
"151","Brenda Lee","I'm Sorry",1960,"/theorytab/view/brenda-lee/im-sorry"
"152","elvis presley with the jordanaires",NA,1960,NA
"153","connie francis",NA,1960,NA
"154","the beach boys",NA,1960,NA
"155","chubby checker",NA,1960,NA
"156","Ray Charles","Hit The Road Jack",1960,"/theorytab/view/ray-charles/hit-the-road-jack"
"157","Ray Charles","Georgia",1960,"/theorytab/view/ray-charles/georgia"
"158","bobby vinton",NA,1960,NA
"159","Dionne Warwick","Valley Of The Dolls - Theme",1960,"/theorytab/view/dionne-warwick/valley-of-the-dolls---theme"
"160","Hozier","Jackie And Wilson",1960,"/theorytab/view/hozier/jackie-and-wilson"
"161","brook benton",NA,1960,NA
"162","Roy Orbison","Oh Pretty Woman",1960,"/theorytab/view/roy-orbison/oh-pretty-woman"
"163","Roy Orbison","You Got It",1960,"/theorytab/view/roy-orbison/you-got-it"
"164","Sam Cooke","Wonderful World",1960,"/theorytab/view/sam-cooke/wonderful-world"
"165","Sam Cooke","Another Saturday Night",1960,"/theorytab/view/sam-cooke/another-saturday-night"
"166","Sam Cooke","A Change Is Gonna Come",1960,"/theorytab/view/sam-cooke/a-change-is-gonna-come"
"167","Bobby Darin","Artificial Flowers",1960,"/theorytab/view/bobby-darin/artificial-flowers"
"168","james brown and the famous flames",NA,1960,NA
"169","The Impressions","It's All Right",1960,"/theorytab/view/the-impressions/its-all-right"
"170","The Temptations","My Girl",1960,"/theorytab/view/the-temptations/my-girl"
"171","The Temptations","Ain't Too Proud to Beg",1960,"/theorytab/view/the-temptations/aint-too-proud-to-beg"
"172","The Drifters","Save The Last Dance For Me",1960,"/theorytab/view/the-drifters/save-the-last-dance-for-me"
"173","The Drifters","Up On The Roof",1960,"/theorytab/view/the-drifters/up-on-the-roof"
"174","fats domino",NA,1960,NA
"175","gene pitney",NA,1960,NA
"176","Marvin Gaye and Tammi Terrell","Ain't No Mountain High Enough",1960,"/theorytab/view/marvin-gaye-and-tammi-terrell/aint-no-mountain-high-enough"
"177","Marvin Gaye","What's Going On",1960,"/theorytab/view/marvin-gaye/whats-going-on"
"178","Marvin Gaye","Let's Get It On",1960,"/theorytab/view/marvin-gaye/lets-get-it-on"
"179","Marvin Gaye and Tammi Terrell","Ain't Nothing Like the Real Thing",1960,"/theorytab/view/marvin-gaye-and-tammi-terrell/aint-nothing-like-the-real-thing"
