"","Artist","Songs","Links"
"1","Drake","Hotline Bling","/theorytab/view/drake/hotline-bling"
"2","Drake","Hold On We're Going Home","/theorytab/view/drake/hold-on-were-going-home"
"3","Drake","Trophies","/theorytab/view/drake/trophies"
"4","Drake","Take Care","/theorytab/view/drake/take-care"
"5","Drake","Headlines","/theorytab/view/drake/headlines"
"6","Drake","Marvin's Room","/theorytab/view/drake/marvins-room"
"7","Drake Bell","I Found A Way","/theorytab/view/drake-bell/i-found-a-way"
"8","Drake","One Dance","/theorytab/view/drake/one-dance"
"9","Drake","Pop Style","/theorytab/view/drake/pop-style"
"10","Drake ft Rihanna","Take Care","/theorytab/view/drake-ft-rihanna/take-care"
"11","Drake Bell","Down We Fall","/theorytab/view/drake-bell/down-we-fall"
"12","Drake Bell","In The End","/theorytab/view/drake-bell/in-the-end"
"13","Drake","In My Feelings","/theorytab/view/drake/controlla"
"14","Drake","Child's Play","/theorytab/view/drake/gods-plan"
"15","Drake","Nice For What","/theorytab/view/drake/duppy-freestyle"
"16","Drake","Controlla","/theorytab/view/drake/in-my-feelings"
"17","Drake","God's Plan","/theorytab/view/drake/childs-play"
"18","Drake","Duppy Freestyle","/theorytab/view/drake/nice-for-what"
"19","Taylor Swift","Shake It Off","/theorytab/view/taylor-swift/shake-it-off"
"20","Taylor Swift","Blank Space","/theorytab/view/taylor-swift/blank-space"
"21","Taylor Swift","I Knew You Were Trouble","/theorytab/view/taylor-swift/i-knew-you-were-trouble"
"22","Taylor Swift","Bad Blood","/theorytab/view/taylor-swift/bad-blood"
"23","Taylor Swift","22","/theorytab/view/taylor-swift/22"
"24","Taylor Swift","Eyes Open","/theorytab/view/taylor-swift/eyes-open"
"25","Taylor Swift","Style","/theorytab/view/taylor-swift/style"
"26","Taylor Swift","Love Story","/theorytab/view/taylor-swift/love-story"
"27","Taylor Swift","You Belong With Me","/theorytab/view/taylor-swift/you-belong-with-me"
"28","Taylor Swift","Mean","/theorytab/view/taylor-swift/mean"
"29","Taylor Swift","Stay Stay Stay","/theorytab/view/taylor-swift/stay-stay-stay"
"30","Taylor Swift","Wildest Dreams","/theorytab/view/taylor-swift/wildest-dreams"
"31","Taylor Swift","Begin Again","/theorytab/view/taylor-swift/begin-again"
"32","Taylor Swift","Safe and Sound","/theorytab/view/taylor-swift/safe-and-sound"
"33","Taylor Swift","We Are Never Ever Getting Back Together","/theorytab/view/taylor-swift/we-are-never-ever-getting-back-together"
"34","Taylor Swift","Starlight","/theorytab/view/taylor-swift/starlight"
"35","Taylor Swift","Mine","/theorytab/view/taylor-swift/mine"
"36","Taylor Swift","Mary's Song","/theorytab/view/taylor-swift/marys-song"
"37","Taylor Swift","Red","/theorytab/view/taylor-swift/red"
"38","Taylor Swift","New Romantics","/theorytab/view/taylor-swift/new-romantics"
"39","Taylor Swift","The Best Day","/theorytab/view/taylor-swift/the-best-day"
"40","Taylor Swift","Speak Now","/theorytab/view/taylor-swift/speak-now"
"41","Taylor Swift","Look What You Made Me Do","/theorytab/view/taylor-swift/i-dont-wanna-live-forever"
"42","Taylor Swift","All Too Well","/theorytab/view/taylor-swift/enchanted"
"43","Taylor Swift","State Of Grace","/theorytab/view/taylor-swift/holy-ground"
"44","Taylor Swift","Welcome To New York","/theorytab/view/taylor-swift/white-horse"
"45","Taylor Swift","Treacherous","/theorytab/view/taylor-swift/forever-and-always"
"46","Taylor Swift","Fearless","/theorytab/view/taylor-swift/the-way-i-loved-you"
"47","Taylor Swift","Dear John","/theorytab/view/taylor-swift/dancing-with-our-hands-tied"
"48","Taylor Swift","Should've Said No","/theorytab/view/taylor-swift/last-kiss"
"49","Taylor Swift","So It Goes","/theorytab/view/taylor-swift/call-it-what-you-want-to"
"50","Taylor Swift","Ready For It","/theorytab/view/taylor-swift/look-what-you-made-me-do"
"51","Taylor Swift","Our Song","/theorytab/view/taylor-swift/all-too-well"
"52","Taylor Swift","Delicate","/theorytab/view/taylor-swift/state-of-grace"
"53","Taylor Swift","Clean","/theorytab/view/taylor-swift/welcome-to-new-york"
