"","Artist","Songs","Decade","Links"
"1","daryl hall john oates",NA,1980,NA
"2","kool and gang",NA,1980,NA
"3","The Pointer Sisters","Jump For My Love",1980,"/theorytab/view/the-pointer-sisters/jump-for-my-love"
"4","huey lewis and news",NA,1980,NA
"5","billy ocean",NA,1980,NA
"6","jason aldean",NA,2010,NA
"7","blake shelton",NA,2010,NA
"8","keith urban",NA,2010,NA
"9","zac brown band",NA,2010,NA
"10","chris young",NA,2010,NA
"11","florida georgia line",NA,2010,NA
"12","boyz ii men",NA,1990,NA
"13","mary j blige",NA,1990,NA
"14","gloria estefan",NA,1990,NA
"15","R Kelly","Bump n' Grind",1990,"/theorytab/view/r-kelly/bump-n-grind"
"16","Kelly Clarkson","Breakaway",1990,"/theorytab/view/kelly-clarkson/breakaway"
"17","Kelly Clarkson","Already Gone",1990,"/theorytab/view/kelly-clarkson/already-gone"
"18","David Guetta","When Love Takes Over ft Kelly Rowland",1990,"/theorytab/view/david-guetta/when-love-takes-over-ft-kelly-rowland"
"19","Kelly Clarkson","Because Of You",1990,"/theorytab/view/kelly-clarkson/because-of-you"
"20","Kelly Clarkson","Behind These Hazel Eyes",1990,"/theorytab/view/kelly-clarkson/behind-these-hazel-eyes"
"21","R Kelly","I Believe I Can Fly",1990,"/theorytab/view/r-kelly/i-believe-i-can-fly"
"22","Kelly Clarkson","Since U Been Gone",1990,"/theorytab/view/kelly-clarkson/since-u-been-gone"
"23","Kelly Rowland","Work",1990,"/theorytab/view/kelly-rowland/work"
"24","R Kelly","Ignition - Remix",1990,"/theorytab/view/r-kelly/ignition---remix"
"25","Kelly Clarkson","Dark Side",1990,"/theorytab/view/kelly-clarkson/dark-side"
"26","Kelly Clarkson","Catching My Breath",1990,"/theorytab/view/kelly-clarkson/catching-my-breath"
"27","Kelly Clarkson","Stronger",1990,"/theorytab/view/kelly-clarkson/stronger"
"28","Kelly Clarkson","Catch My Breath",1990,"/theorytab/view/kelly-clarkson/catch-my-breath"
"29","Kelly Clarkson","Heartbeat Song",1990,"/theorytab/view/kelly-clarkson/heartbeat-song"
"30","Frente","Accidently Kelly Street",1990,"/theorytab/view/frente/accidently-kelly-street"
"31","Kelly Bailey","Half Life 2 OST - Triage at Dawn",1990,"/theorytab/view/kelly-bailey/half-life-2-ost---triage-at-dawn"
"32","Kelly Clarkson","My Grown Up Christmas Wish",1990,"/theorytab/view/kelly-clarkson/my-grown-up-christmas-wish"
"33","R Kelly","If I Could Turn Back the Hands of Time",1990,"/theorytab/view/r-kelly/if-i-could-turn-back-the-hands-of-time"
"34","Tori Kelly","Nobody Love",1990,"/theorytab/view/tori-kelly/nobody-love"
"35","Paul Kelly","From Little Things Big Things Grow",1990,"/theorytab/view/paul-kelly/from-little-things-big-things-grow"
"36","Tori Kelly","Hollow",1990,"/theorytab/view/tori-kelly/hollow"
"37","Nelly ft Kelly Rowland","Dilemma",1990,"/theorytab/view/nelly-ft-kelly-rowland/dilemma"
"38","Paul Kelly","How to Make Gravy",1990,"/theorytab/view/paul-kelly/how-to-make-gravy"
"39","Tori Kelly","Should've Been Us",1990,"/theorytab/view/tori-kelly/shouldve-been-us"
"40","Kelly Clarkson","Walk Away",1990,"/theorytab/view/kelly-clarkson/walk-away"
"41","Tori Kelly","Confetti",1990,"/theorytab/view/tori-kelly/confetti"
"42","Kelly Clarkson","My Life Would Suck Without You",1990,"/theorytab/view/kelly-clarkson/my-life-would-suck-without-you"
"43","Tori Kelly","Expensive",1990,"/theorytab/view/tori-kelly/expensive"
"44","The Eden Project","Grace Kelly",1990,"/theorytab/view/mika/grace-kelly"
"45","MIKA","Kelly Watch The Stars",1990,"/theorytab/view/air/kelly-watch-the-stars"
"46","Air","Underneath The Tree",1990,"/theorytab/view/kelly-clarkson/underneath-the-tree"
"47","Kelly Clarkson","Statues ft Leah Kelly",1990,"/theorytab/view/the-eden-project/statues-ft-leah-kelly"
"48","jodeci",NA,1990,NA
"49","color me badd",NA,1990,NA
"50","ace of base",NA,1990,NA
"51","jon secada",NA,1990,NA
"52","ll cool j",NA,1990,NA
"53","ll cool j",NA,1990,NA
"54","hootie and blowfish",NA,1990,NA
"55","elvis presley with jordanaires",NA,1960,NA
"56","connie francis",NA,1960,NA
"57","The Beach Boys","God Only Knows",1960,"/theorytab/view/the-beach-boys/god-only-knows"
"58","The Beach Boys","Don't Talk - Put Your Head On My Shoulder",1960,"/theorytab/view/the-beach-boys/dont-talk---put-your-head-on-my-shoulder"
"59","The Beach Boys","Good Vibrations",1960,"/theorytab/view/the-beach-boys/good-vibrations"
"60","The Beach Boys","Kokomo",1960,"/theorytab/view/the-beach-boys/kokomo"
"61","Beach Boys","I Get Around",1960,"/theorytab/view/beach-boys/i-get-around"
"62","The Beach Boys","Surfin' USA",1960,"/theorytab/view/the-beach-boys/surfin-usa"
"63","Beach Boys","Don't Worry Baby",1960,"/theorytab/view/beach-boys/dont-worry-baby"
"64","The Beach Boys","Don't Worry Baby",1960,"/theorytab/view/the-beach-boys/dont-worry-baby"
"65","The Beach Boys","Wouldn't It Be Nice",1960,"/theorytab/view/the-beach-boys/wouldnt-it-be-nice"
"66","The Beach Boys","Caroline No",1960,"/theorytab/view/the-beach-boys/caroline-no"
"67","Beach Boys","Surf's Up",1960,"/theorytab/view/beach-boys/surfs-up"
"68","The Beach Boys","California Girls",1960,"/theorytab/view/the-beach-boys/california-girls"
"69","The Beach Boys","Girls on the Beach",1960,"/theorytab/view/the-beach-boys/girls-on-the-beach"
"70","The Beach Boys","Surfer Girl",1960,"/theorytab/view/the-beach-boys/surfer-girl"
"71","The Beach Boys","Here Today",1960,"/theorytab/view/the-beach-boys/here-today"
"72","The Beach Boys","Barbara Ann",1960,"/theorytab/view/the-beach-boys/barbara-ann"
"73","The Beach Boys","Wonderful",1960,"/theorytab/view/the-beach-boys/wonderful"
"74","The Beach Boys","You Still Believe In Me",1960,"/theorytab/view/the-beach-boys/you-still-believe-in-me"
"75","The Beach Boys","That's Not Me",1960,"/theorytab/view/the-beach-boys/thats-not-me"
"76","The Beach Boys","Deirdre",1960,"/theorytab/view/the-beach-boys/deirdre"
"77","chubby checker",NA,1960,NA
"78","bobby vinton",NA,1960,NA
"79","brook benton",NA,1960,NA
"80","james brown and famous flames",NA,1960,NA
"81","fats domino",NA,1960,NA
"82","gene pitney",NA,1960,NA
"83","The Rolling Stones","Satisfaction",1960,"/theorytab/view/the-rolling-stones/satisfaction"
"84","The Rolling Stones","Beast of Burden",1960,"/theorytab/view/the-rolling-stones/beast-of-burden"
"85","The Rolling Stones","Jumpin' Jack Flash",1960,"/theorytab/view/the-rolling-stones/jumpin-jack-flash"
"86","The Rolling Stones","Gimme Shelter",1960,"/theorytab/view/the-rolling-stones/gimme-shelter"
"87","The Rolling Stones","Paint It Black",1960,"/theorytab/view/the-rolling-stones/paint-it-black"
"88","The Rolling Stones","Angie",1960,"/theorytab/view/the-rolling-stones/angie"
"89","The Rolling Stones","Time Is On My Side",1960,"/theorytab/view/the-rolling-stones/time-is-on-my-side"
"90","The Rolling Stones","Wild Horses",1960,"/theorytab/view/the-rolling-stones/wild-horses"
"91","The Rolling Stones","Tumbling Dice",1960,"/theorytab/view/the-rolling-stones/tumbling-dice"
"92","Rolling Stones","Mother's Little Helper",1960,"/theorytab/view/rolling-stones/mothers-little-helper"
"93","The Rolling Stones","You Can't Always Get What You Want",1960,"/theorytab/view/the-rolling-stones/you-cant-always-get-what-you-want"
"94","bobby rydell",NA,1960,NA
"95","marvelettes",NA,1960,NA
"96","johnny tillotson",NA,1960,NA
"97","jerry butler",NA,1960,NA
"98","dave clark five",NA,1960,NA
"99","bobby vee",NA,1960,NA
"100","connie francis",NA,1950,NA
"101","pat boone",NA,1950,NA
"102","frankie avalon",NA,1950,NA
"103","tommy edwards",NA,1950,NA
"104","fats domino",NA,1950,NA
"105","everly brothers",NA,1950,NA
"106","johnny mathis",NA,1950,NA
"107","jimmie rodgers",NA,1950,NA
"108","duane eddy his twangy guitar and rebels",NA,1950,NA
"109","paul anka",NA,1950,NA
"110","jack scott",NA,1950,NA
"111","brook benton",NA,1950,NA
"112","elvis presley with jordanaires",NA,1950,NA
"113","kingston trio",NA,1950,NA
