"","artist","song","song_parts","chords","link"
"1","Taylor Swift","Mean","Verse","c#m-B-A-c#m-B-A-c#m-B-A-c#m-B-A-B-E-A-B-A","http://www.hooktheory.com/theorytab/view/taylor-swift/mean"
"2","Taylor Swift","Mean","Chorus","E-B-c#m-A-E-B-A-E-B-c#m-A-E-B-A-E-E7-E","http://www.hooktheory.com/theorytab/view/taylor-swift/mean"
"3","Taylor Swift","Stay Stay Stay","Verse","C-F-am-G-C-F-am-G-C-F-am-G-C-F-am-G","http://www.hooktheory.com/theorytab/view/taylor-swift/stay-stay-stay"
"4","Taylor Swift","Stay Stay Stay","Chorus","C-F-am-G-C-F-am-G-C-F-am-G-C-F-am-G","http://www.hooktheory.com/theorytab/view/taylor-swift/stay-stay-stay"
"5","Taylor Swift","Stay Stay Stay","Bridge","am-F-C-G-am-F-C-G","http://www.hooktheory.com/theorytab/view/taylor-swift/stay-stay-stay"
"6","Taylor Swift","Wildest Dreams","Verse","Db-fm-Eb-Db-fm-Eb","http://www.hooktheory.com/theorytab/view/taylor-swift/wildest-dreams"
"7","Taylor Swift","Wildest Dreams","Pre-Chorus","Db-fm-Eb-Db-fm-Eb","http://www.hooktheory.com/theorytab/view/taylor-swift/wildest-dreams"
"8","Taylor Swift","Wildest Dreams","Chorus","Ab-Ebbbm-Db-Ab-Ebbbm-Db-Ab-Ebbbm-Db-Ab-Ebbbm-Db","http://www.hooktheory.com/theorytab/view/taylor-swift/wildest-dreams"
"9","Taylor Swift","Begin Again","Verse","G-C-G","http://www.hooktheory.com/theorytab/view/taylor-swift/begin-again"
"10","Taylor Swift","Safe and Sound","Verse","am-em-C-G-am-em-C-G-am-em-C-G-bm-G-C-G-D-C-G-D-C-G-D-am-D-A7","http://www.hooktheory.com/theorytab/view/taylor-swift/safe-and-sound"
"11","Taylor Swift","We Are Never Ever Getting Back Together","Verse","Csus2-G-Dsus4-em7-D-Csus2-G-Dsus4-em7-D-Csus2-G-Dsus4-em7-D-Csus2-G-Dsus4-em7-D","http://www.hooktheory.com/theorytab/view/taylor-swift/we-are-never-ever-getting-back-together"
"12","Taylor Swift","We Are Never Ever Getting Back Together","Chorus","Csus2-G-Dsus4-em-D-Csus2-G-Dsus4-em-D-Csus2-G-Dsus4-em-D-Csus2-G-Dsus4-Csus2-G","http://www.hooktheory.com/theorytab/view/taylor-swift/we-are-never-ever-getting-back-together"
"13","Taylor Swift","We Are Never Ever Getting Back Together","Bridge","Csus2-G-Dsus4-em-D-Csus2-G-Dsus4-em-D-Csus2-G-Dsus4-em-D-Csus2-G-Dsus4","http://www.hooktheory.com/theorytab/view/taylor-swift/we-are-never-ever-getting-back-together"
"14","Taylor Swift","Starlight","Verse","A-B-A","http://www.hooktheory.com/theorytab/view/taylor-swift/starlight"
"15","Taylor Swift","Starlight","Chorus","A-B-E-c#m-A-B-E-c#m-A-B-E-c#m","http://www.hooktheory.com/theorytab/view/taylor-swift/starlight"
"16","Taylor Swift","Mine","Chorus","C-G-D-em-D-C-G-D-em-D-C-G-D-em-D-C-G-D-em-D","http://www.hooktheory.com/theorytab/view/taylor-swift/mine"
"17","Taylor Swift","Mary's Song","Intro","G-D-G","http://www.hooktheory.com/theorytab/view/taylor-swift/marys-song"
"18","Taylor Swift","Mary's Song","Chorus","D-A-G-D-A-G-D","http://www.hooktheory.com/theorytab/view/taylor-swift/marys-song"
"19","Taylor Swift","Red","Verse","A-c#m-B-A-c#m-B-A-c#m-B-A-c#m-B","http://www.hooktheory.com/theorytab/view/taylor-swift/red"
"20","Taylor Swift","Red","Chorus","A-E-B-A-c#m-B-A-c#m-B-E-B-E-B-A-c#m-B","http://www.hooktheory.com/theorytab/view/taylor-swift/red"
"21","Taylor Swift","New Romantics","Verse","Bb-dm-C(add9)-gm7-Bb-dm-C(add9)-C(add9-)","http://www.hooktheory.com/theorytab/view/taylor-swift/new-romantics"
"22","Taylor Swift","New Romantics","Chorus","gm-Bb-F-C-gm-Bb-F-C-gm-Bb-F-C-gm-Bb-F-C","http://www.hooktheory.com/theorytab/view/taylor-swift/new-romantics"
"23","Taylor Swift","The Best Day","Verse","Dbbbm-Gb-Ab-Dbbbm-Gb-Ab","http://www.hooktheory.com/theorytab/view/taylor-swift/the-best-day"
"24","Taylor Swift","The Best Day","Chorus","Gb-Ab-Db-fm-b-bm-Gb-Ab-Db-fm-b-bm","http://www.hooktheory.com/theorytab/view/taylor-swift/the-best-day"
"25","Taylor Swift","The Best Day","Bridge","Gbbbm-Ab-Gb-Db-Ab-Gb-A-bsus4","http://www.hooktheory.com/theorytab/view/taylor-swift/the-best-day"
"26","Taylor Swift","Speak Now","Verse","G-D-am7-C-G-D-am7-C","http://www.hooktheory.com/theorytab/view/taylor-swift/speak-now"
"27","Taylor Swift","Speak Now","Pre-Chorus","am7-C-G-D-am7-C-D","http://www.hooktheory.com/theorytab/view/taylor-swift/speak-now"
"28","Taylor Swift","Speak Now","Chorus","G-D-am7-C-G-D-am7-C","http://www.hooktheory.com/theorytab/view/taylor-swift/speak-now"
"29","Taylor Swift","I Dont Wanna Live Forever","Verse","C-G-dm-F-C-G-dm-F","http://www.hooktheory.com/theorytab/view/taylor-swift/getaway-car"
"30","Taylor Swift","I Dont Wanna Live Forever","Pre-Chorus","C-G-dm-F","http://www.hooktheory.com/theorytab/view/taylor-swift/getaway-car"
"31","Taylor Swift","I Dont Wanna Live Forever","Chorus","C-Gsus4-dm-F-C-Gsus4-dm-F-C-Gsus4-dm-Fsus2","http://www.hooktheory.com/theorytab/view/taylor-swift/getaway-car"
"32","Taylor Swift","I Dont Wanna Live Forever","Bridge","D-A-em-G-D-A-em-gm-D-A-em-G","http://www.hooktheory.com/theorytab/view/taylor-swift/getaway-car"
"33","Taylor Swift","Enchanted","Intro","dm-Bb-F-C-dm-Bb-F-C","http://www.hooktheory.com/theorytab/view/taylor-swift/sparks-fly"
"34","Taylor Swift","Enchanted","Verse","dm-Bb-F-C-dm-Bb-F-C","http://www.hooktheory.com/theorytab/view/taylor-swift/sparks-fly"
"35","Taylor Swift","Enchanted","Pre-Chorus","Bb-C-F-C-dm-Bb-C","http://www.hooktheory.com/theorytab/view/taylor-swift/sparks-fly"
"36","Taylor Swift","Enchanted","Chorus","dm-Bb-F-C-dm-Bb-F-C-dm-Bb-F-C-dm-Bb-F-C","http://www.hooktheory.com/theorytab/view/taylor-swift/sparks-fly"
