"","artist","song","song_parts","chords","link"
"1","Luke Bryan","Crash My Party","Verse","em-C-G-D-em-C-G-D","http://www.hooktheory.com/theorytab/view/luke-bryan/crash-my-party"
"2","Luke Bryan","Crash My Party","Pre-Chorus","C-D-em-D-C-G-am-am","http://www.hooktheory.com/theorytab/view/luke-bryan/crash-my-party"
"3","Luke Bryan","Crash My Party","Chorus","C-G-em-D-C-G-em-D","http://www.hooktheory.com/theorytab/view/luke-bryan/crash-my-party"
"4","Luke Bryan","Roller Coaster","Verse","Ab-Ab-Eb-Eb-fm7-fm7-Db-Db","http://www.hooktheory.com/theorytab/view/luke-bryan/roller-coaster"
"5","Luke Bryan","Roller Coaster","Chorus","Ab-Ab-Eb-Eb-fm7-fm7-Db-Db","http://www.hooktheory.com/theorytab/view/luke-bryan/roller-coaster"
"6","Luke Bryan","Play It Again","Chorus","E-B-F#-g#m-F#-E-B-F#-F#","http://www.hooktheory.com/theorytab/view/luke-bryan/play-it-again"
"7","Luke Bryan","Beer In The Headlights","Chorus","G-bm7-Asus4-Asus4-G-bm7-Asus4-Asus4","http://www.hooktheory.com/theorytab/view/luke-bryan/beer-in-the-headlights"
"8","Imagine Dragons","Radioactive","Chorus","bm-D-A-E-bm-D-A-E-bm-D-A-E-bm-D-A-E","http://www.hooktheory.com/theorytab/view/imagine-dragons/radioactive"
"9","Imagine Dragons","Demons","Intro","Eb-B-bsus4-cm-Ab-Eb-B-bsus4-cm-Ab","http://www.hooktheory.com/theorytab/view/imagine-dragons/demons"
"10","Imagine Dragons","Demons","Verse","Eb-Bb-cm-Ab-Eb-Bb-cm-Ab","http://www.hooktheory.com/theorytab/view/imagine-dragons/demons"
"11","Imagine Dragons","Demons","Pre-Chorus","Eb-B-bsus4-cm-Ab-Eb-B-bsus4-cm-Ab-Eb-B-bsus4-cm-Ab-Eb-B-bsus4-cm-Ab","http://www.hooktheory.com/theorytab/view/imagine-dragons/demons"
