"","song","composer"
"1","I Saw Her Standing There","McCartney"
"2","Misery","Lennon/McCartney"
"3","Anna (Go to Him)","Alexander"
"4","Chains","Goffin/King"
"5","Boys","Dixon/Farrell"
"6","Ask Me Why","Lennon"
"7","Please Please Me","Lennon"
"8","Love Me Do","McCartney"
"9","P.S. I Love You","McCartney"
"10","Baby It´s You","David/Williams/Bacharach"
"11","Do You Want to Know a Secret","Lennon"
"12","A Taste of Honey","Scott/Marlow"
"13","There´s a Place","Lennon"
"14","Twist and Shout","Medley/Russel"
"15","It Won´t Be Long","Lennon"
"16","All I´ve Got to Do","Lennon"
"17","All My Loving","McCartney"
"18","Don´t Bother Me","Harrison"
"19","Little Child","Lennon/McCartney"
"20","Till There Was You","Wilson"
"21","Please Mr Postman","Holland/Bateman/Garrett/Dobbins/Gorman"
"22","Roll Over Beethoven","Berry"
"23","Hold Me Tight","McCartney"
"24","You Really Got a Hold on Me","Robinson"
"25","I Wanna Be Your Man","Lennon/McCartney"
"26","Devil in Her Heart","Drapkin"
"27","Not a Second Time","Lennon"
"28","Money (That´s What I Want)","Bradford/Gordy"
"29","A Hard Day´s Night","Lennon"
"30","I Should Have Known Better","Lennon"
"31","If I Fell","Lennon"
"32","I´m Happy Just to Dance With You","Lennon"
"33","And I Love Her","McCartney"
"34","Tell Me Why","Lennon"
"35","Can´t Buy Me Love","McCartney"
"36","Any Time at All","Lennon"
"37","I´ll Cry Instead","Lennon"
"38","Things We Said Today","McCartney"
"39","When I Get Home","Lennon"
"40","You Can´t Do That","Lennon"
"41","I´ll Be Back","Lennon"
"42","No Reply","Lennon"
"43","I´m a Loser","Lennon"
"44","Baby´s in Black","Lennon/McCartney"
"45","Rock and Roll Music","Berry"
"46","I´ll Follow the Sun","McCartney"
"47","Mr Moonlight","Johnson"
"48","Kansas City/Hey, Hey, Hey, Hey","Leiber/Stoller/Penniman"
"49","Eight Days a Week","McCartney"
"50","Words of Love","Holly"
"51","Honey Don´t","Perkins"
"52","Every Little Thing","McCartney"
"53","I Don´t Want to Spoil the Party","Lennon"
"54","What You´re Doing","McCartney"
"55","Everybody´s Trying to Be My Baby","Perkins"
"56","Help!","Lennon"
"57","The Night Before","McCartney"
"58","You´ve Got to Hide Your Love Away","Lennon"
"59","I Need You","Harrison"
"60","Another Girl","McCartney"
"61","You´re Going to Lose That Girl","Lennon"
"62","Ticket to Ride","Lennon"
"63","Act Naturally","Morrison/Russel"
"64","It´s Only Love","Lennon"
"65","You Like Me Too Much","Harrison"
"66","Tell Me What You See","McCartney"
"67","I´ve Just Seen a Face","McCartney"
"68","Yesterday","McCartney"
"69","Dizzy Miss Lizzy","Williams"
"70","Drive My Car","McCartney"
"71","Norwegian Wood (This Bird Has Flown)","Lennon"
"72","You Won´t See Me","McCartney"
"73","Nowhere Man","Lennon"
"74","Think for Yourself","Harrison"
"75","The Word","Lennon/McCartney"
"76","Michelle","McCartney"
"77","What Goes On","Lennon/McCartney"
"78","Girl","Lennon"
"79","I´m Looking Through You","McCartney"
"80","In My Life","Lennon/McCartney"
"81","Wait","Lennon/McCartney"
"82","If I Need Someone","Harrison"
"83","Run for Your Life","Lennon"
"84","Taxman","Harrison"
"85","Eleanor Rigby","McCartney"
"86","I´m Only Sleeping","Lennon"
"87","Love You To","Harrison"
"88","Here, There and Everywhere","McCartney"
"89","Yellow Submarine","McCartney"
"90","She Said She Said","Lennon"
"91","Good Day Sunshine","McCartney"
"92","And Your Bird Can Sing","Lennon"
"93","For No One","McCartney"
"94","Doctor Robert","Lennon"
"95","I Want to Tell You","Harrison"
"96","Got to Get You Into My Life","McCartney"
"97","Tomorrow Never Knows","Lennon"
"98","She Loves You","Lennon/McCartney"
"99","From Me to You","Lennon/McCartney"
"100","We Can Work It Out","Lennon/McCartney"
"101","Help!","Lennon"
"102","Michelle","McCartney"
"103","Yesterday","McCartney"
"104","I Feel Fine","Lennon"
"105","Yellow Submarine","McCartney"
"106","Can´t Buy Me Love","McCartney"
"107","Bad Boy","Williams"
"108","Day Tripper","Lennon"
"109","A Hard Day´s Night","Lennon"
"110","Ticket to Ride","Lennon"
"111","Paperback Writer","McCartney"
"112","Eleanor Rigby","McCartney"
"113","I Want to Hold Your Hand","Lennon/McCartney"
"114","Sgt. Pepper´s Lonely Hearts Club Band","McCartney"
"115","With a Little Help From My Friends","McCartney"
"116","Lucy in the Sky with Diamonds","Lennon"
"117","Getting Better","McCartney"
"118","Fixing a Hole","McCartney"
"119","She´s Leaving Home","McCartney"
"120","Being For the Benefit of Mr. Kite","Lennon"
"121","Within You Without You","Harrison"
"122","When I´m 64","McCartney"
"123","Lovely Rita","McCartney"
"124","Good Morning Good Morning","Lennon"
"125","Sgt. Pepper´s Lonely Hearts Club Band (Reprise)","McCartney"
"126","A Day in the Life","Lennon/McCartney"
"127","Magical Mystery Tour","McCartney"
"128","The Fool on the Hill","McCartney"
"129","Flying","Lennon/McCartney/Harrison/Starr"
"130","Blue Jay Way","Harrison"
"131","Your Mother Should Know","McCartney"
"132","I Am the Walrus","Lennon"
"133","Hello, Goodbye","McCartney"
"134","Strawberry Fields Forever","Lennon"
"135","Penny Lane","McCartney"
"136","Baby You’re a Rich Man","Lennon/McCartney"
"137","All You Need Is Love","Lennon"
"138","Back in the USSR","McCartney"
"139","Dear Prudence","Lennon"
"140","Glass Onion","Lennon"
"141","Ob-la-di, Ob-la-da","McCartney"
"142","Wild Honey Pie","McCartney"
"143","The Continuing Story of Bungalow Bill","Lennon"
"144","While My Guitar Gently Weeps","Harrison"
"145","Happiness is a Warm Gun","Lennon"
"146","Martha My Dear","McCartney"
"147","I´m So Tired","Lennon"
"148","Blackbird","McCartney"
"149","Piggies","Harrison"
"150","Rocky Raccoon","McCartney"
"151","Don´t Pass Me By","Starr"
"152","Why Don´t We Do It in the Road?","McCartney"
"153","I Will","McCartney"
"154","Julia","Lennon"
"155","Birthday","McCartney"
"156","Yer Blues","Lennon"
"157","Mother Nature´s Son","McCartney"
"158","Everybody´s Got Something to Hide Except Me and My Monkey","Lennon"
"159","Sexy Sadie","Lennon"
"160","Helter Skelter","McCartney"
"161","Long Long Long","Harrison"
"162","Revolution 1","Lennon"
"163","Honey Pie","McCartney"
"164","Savoy Truffle","Harrison"
"165","Cry Baby Cry","Lennon"
"166","Revolution 9","Lennon"
"167","Good Night","Lennon"
"168","Yellow Submarine","McCartney"
"169","Only a Nothern Song","Harrison"
"170","All Together Now","McCartney"
"171","Hey Bulldog","Lennon/McCartney"
"172","It´s All Too Much","Harrison"
"173","All You Need is Love","Lennon"
"174","Come Together","Lennon"
"175","Something","Harrison"
"176","Maxwell´s Silver Hammer","McCartney"
"177","Oh! Darling","McCartney"
"178","Octopus´s Garden","Starr"
"179","I Want You (She´s So Heavy)","Lennon"
"180","Here Comes the Sun","Harrison"
"181","Because","Lennon"
