"","song","album_name","year","phase"
"1","Hey Jude",NA,1968,"Late"
"2","A Day in the Life","Sgt. Peppers Lonely Hearts Club Band",1967,"Late"
"3","Let It Be","Let It Be",1970,"Late"
"4","Blackbird","White Album",1968,"Late"
"5","Yesterday","Help!",1965,"Early"
"6","Here Comes the Sun","Abbey Road",1969,"Late"
"7","Across the Universe","Let It Be",1970,"Late"
"8","While My Guitar Gently Weeps","White Album",1968,"Late"
"9","All My Loving","With the Beatles",1963,"Early"
"10","Oh Darling","Abbey Road",1969,"Late"
"11","Eleanor Rigby","Revolver",1966,"Late"
"12","Come Together","Abbey Road",1969,"Late"
"13","I Am the Walrus","Magical Mystery Tour",1967,"Late"
"14","I Want To Hold Your Hand","Meet the Beatles",1964,"Early"
"15","And I Love Her","A Hard Days Night",1964,"Early"
"16","Penny Lane","Magical Mystery Tour",1967,"Late"
"17","In My Life","Rubber Soul",1965,"Early"
"18","I Should Have Known Better","A Hard Days Night",1964,"Early"
"19","Lovely Rita","Sgt. Peppers Lonely Hearts Club Band",1967,"Late"
"20","With A Little Help From My Friends","Sgt. Peppers Lonely Hearts Club Band",1967,"Late"
"21","For No One","Revolver",1966,"Late"
"22","Something","Abbey Road",1969,"Late"
"23","All Together Now","Yellow Submarine",1969,"Late"
"24","Octopus's Garden","Abbey Road",1969,"Late"
"25","Eight Days a Week","Beatles For Sale",1964,"Early"
"26","Back In The USSR","White Album",1968,"Late"
"27","Lady Madonna","White Album",1968,"Late"
"28","Mean Mr Mustard","Abbey Road",1969,"Late"
"29","You've Got To Hide Your Love Away","Help!",1965,"Early"
"30","If I Fell","A Hard Days Night",1964,"Early"
"31","For You Blue","Let It Be",1970,"Late"
"32","Norwegian Wood","Rubber Soul",1965,"Early"
"33","Hello Goodbye","Magical Mystery Tour",1967,"Late"
"34","Day Tripper",NA,1965,"Early"
"35","Here There And Everywhere","Revolver",1966,"Late"
"36","Twist And Shout","Please Please Me",1963,"Early"
"37","Strawberry Fields Forever","Magical Mystery Tour",1967,"Late"
"38","Honey Pie","White Album",1968,"Late"
"39","Things We Said Today","A Hard Days Night",1964,"Early"
"40","Tomorrow Never Knows","Revolver",1966,"Late"
"41","Yellow Submarine","Revolver",1966,"Late"
"42","Lucy in the Sky with Diamonds","Sgt. Peppers Lonely Hearts Club Band",1967,"Late"
"43","Cry Baby Cry","White Album",1968,"Late"
"44","Get Back","Let It Be",1970,"Late"
"45","The Fool on the Hill","Magical Mystery Tour",1967,"Late"
"46","Help","Help!",1965,"Early"
"47","From Me To You",NA,1963,"Early"
"48","Ob-La-Di Ob-La-Da","White Album",1968,"Late"
"49","Rocky Raccoon","White Album",1968,"Late"
"50","I Will","White Album",1968,"Late"
"51","Happiness is a Warm Gun","White Album",1968,"Late"
"52","She Loves You",NA,1963,"Early"
"53","Hey Bulldog","Yellow Submarine",1969,"Late"
"54","Girl","Rubber Soul",1965,"Early"
"55","She's Leaving Home","Sgt. Peppers Lonely Hearts Club Band",1967,"Late"
"56","I Don't Want To Spoil The Party","Beatles For Sale",1964,"Early"
"57","She Came in through the Bathroom Window","Abbey Road",1969,"Late"
"58","ALL I'VE GOT TO DO","With the Beatles",1963,"Early"
"59","Fixing A Hole","Sgt. Peppers Lonely Hearts Club Band",1967,"Late"
"60","Your Mother Should Know","Magical Mystery Tour",1967,"Late"
"61","Martha My Dear","White Album",1968,"Late"
"62","Good Day Sunshine","Revolver",1966,"Late"
"63","Only a Northern Song","Yellow Submarine",1969,"Late"
"64","Sexy Sadie","White Album",1968,"Late"
"65","I'm So Tired","White Album",1968,"Late"
"66","Elenor Rigby","Revolver",1966,"Late"
"67","Glass Onion","White Album",1968,"Late"
"68","Maxwell's Silver Hammer","Abbey Road",1969,"Late"
"69","Two Of Us","Let It Be",1970,"Late"
"70","Julia","White Album",1968,"Late"
"71","It Won't Be Long","With the Beatles",1963,"Early"
"72","Paperback Writer",NA,1966,"Early"
"73","Good Night","White Album",1968,"Late"
"74","The Night Before","Help!",1965,"Early"
"75","The Continuing Story of Bungalow Bill","White Album",1968,"Late"
"76","The Ballad of John and Yoko",NA,1969,"Late"
"77","I'm Happy Just To Dance With You","A Hard Days Night",1964,"Early"
"78","I've Just Seen A Face","Help!",1965,"Early"
"79","Everybody's Got Something to Hide","White Album",1968,"Late"
"80","Think For Yourself","Rubber Soul",1965,"Early"
"81","What You're Doing","Beatles For Sale",1964,"Early"
"82","Sgt Pepper's Lonely Hearts Club Band","Sgt. Peppers Lonely Hearts Club Band",1967,"Late"
"83","If I Needed Someone","Rubber Soul",1965,"Early"
"84","Please Please Me","Please Please Me",1963,"Early"
"85","Hold Me Tight","With the Beatles",1963,"Early"
"86","I'm Only Sleeping","Revolver",1966,"Late"
"87","Wait","Rubber Soul",1965,"Early"
"88","Love Me Do","Please Please Me",1963,"Early"
"89","Being For The Benefit Of Mr. Kite","Sgt. Peppers Lonely Hearts Club Band",1967,"Late"
"90","Because","Abbey Road",1969,"Late"
"91","Taxman","Revolver",1966,"Late"
"92","You Can't Do That","A Hard Days Night",1964,"Early"
"93","When I'm Sixty-Four","Sgt. Peppers Lonely Hearts Club Band",1967,"Late"
"94","Ticket to Ride","Help!",1965,"Early"
"95","I'm Looking Through You","Rubber Soul",1965,"Early"
"96","We Can Work It Out",NA,1965,"Early"
"97","Nowhere Man","Rubber Soul",1965,"Early"
"98","Dear Prudence","White Album",1968,"Late"
"99","Michelle","Rubber Soul",1965,"Early"
"100","You Never Give Me Your Money","Abbey Road",1969,"Late"
