"artist","song","song_parts","key","bpm","chords","link","roman","roman_features","song_join_code","artist_name","album_name","album_release_date","year","phase"
"The Beatles","Hey Jude","Verse","Fmaj",76,"F-C-C7-C7sus4-C7-F-Bb-F-C-F","http://www.hooktheory.com/theorytab/view/the-beatles/hey-jude","I-V-V-V-V-I-IV-I-V-I","I-V-V7-V7sus4-V7-I-IV-I-V-I","hey jude","The Beatles",NA,NA,1968,"Late"
"The Beatles","Hey Jude","Chorus","Fmaj",75,"F7-Bb-dm7-gm7-dm-C7-C7-F-F-Fmaj7-F7-Bb-dm7-gm7-dm-C7-C7-F-F7-C7-F","http://www.hooktheory.com/theorytab/view/the-beatles/hey-jude","V/IV-IV-vi-ii-vi-V-V-I-I-I-V/IV-IV-vi-ii-vi-V-V-I-V/IV-V-I","V7/IV-IV-vi7-ii7-vi-V7-V7-I-I-Imaj7-V7/IV-IV-vi7-ii7-vi-V7-V7-I-V7/IV-V7-I","hey jude","The Beatles",NA,NA,1968,"Late"
"The Beatles","Hey Jude","Outro","Fmix",76,"F-Eb-Bb-F","http://www.hooktheory.com/theorytab/view/the-beatles/hey-jude","I-VII-IV-I","I-VII-IV-I","hey jude","The Beatles",NA,NA,1968,"Late"
"The Beatles","A Day in the Life","Verse","Gmaj",81,"G-G-em-em-C-C-am7-f#m7(b5)-G-bm-em-em-C-F-em-em-C-F-em-C-D","http://www.hooktheory.com/theorytab/view/the-beatles/a-day-in-the-life","I-I-vi-vi-IV-IV-ii-vii-I-iii-vi-vi-IV-IV/IV-vi-vi-IV-IV/IV-vi-IV-V","I-I-vi-vi-IV-IV-ii7-vii7(b5)-I-iii-vi-vi-IV-IV/IV-vi-vi-IV-IV/IV-vi-IV-V","a day in the life","The Beatles","Sgt. Peppers Lonely Hearts Club Band","1967-05-26",1967,"Late"
"The Beatles","A Day in the Life","Bridge","Emaj",84,"E-E-E-D-D-D-D-D-D-E-B(add9)-E-B(add9)-B-E-E-D-D-D-D-D-D-E-B(add9)-E-B(add9)-C-G-D-A-E-C-G-D-A-E-D-C-D","http://www.hooktheory.com/theorytab/view/the-beatles/a-day-in-the-life","I-I-I-IV/IV-IV/IV-IV/IV-IV/IV-IV/IV-IV/IV-I-V-I-V-V-I-I-IV/IV-IV/IV-IV/IV-IV/IV-IV/IV-IV/IV-I-V-I-V-bVI/(min)-bIII/(min)-IV/IV-IV-I-bVI/(min)-bIII/(min)-IV/IV-IV-I-IV/IV-bVI/(min)-IV/IV","I-I-I-IV/IV-IV/IV-IV/IV-IV/IV-IV/IV-IV/IV-I-V(add9)-I-V(add9)-V-I-I-IV/IV-IV/IV-IV/IV-IV/IV-IV/IV-IV/IV-I-V(add9)-I-V(add9)-bVI/(min)-bIII/(min)-IV/IV-IV-I-bVI/(min)-bIII/(min)-IV/IV-IV-I-IV/IV-bVI/(min)-IV/IV","a day in the life","The Beatles","Sgt. Peppers Lonely Hearts Club Band","1967-05-26",1967,"Late"
"The Beatles","Let It Be","Verse","Cmaj",75,"C-G-am-Fmaj7-F6-C-G-F-C-dm-C","http://www.hooktheory.com/theorytab/view/the-beatles/let-it-be","I-V-vi-IV-IV-I-V-IV-I-ii-I","I-V-vi-IVmaj7-IV6-I-V-IV-I-ii-I","let it be","The Beatles","Let It Be","1970-05-08",1970,"Late"
"The Beatles","Let It Be","Chorus","Cmaj",73,"am-G-F-C-G-F-C-dm-C","http://www.hooktheory.com/theorytab/view/the-beatles/let-it-be","vi-V-IV-I-V-IV-I-ii-I","vi-V-IV-I-V-IV-I-ii-I","let it be","The Beatles","Let It Be","1970-05-08",1970,"Late"
"The Beatles","Blackbird","Verse","Gmaj",96,"G-am7-G-G-C-c#o-D-d#o-em-Eb-D-c#o-C-cm-G-A7-D7sus4-G-C-G-A7-D7sus4-G","http://www.hooktheory.com/theorytab/view/the-beatles/blackbird","I-ii-I-I-IV-vii/V-V-vii/vi-vi-bVI/(min)-V-vii/V-IV-iv/(min)-I-V/V-V-I-IV-I-V/V-V-I","I-ii7-I-I-IV-viio/V-V-viio/vi-vi-bVI/(min)-V-viio/V-IV-iv/(min)-I-V7/V-V7sus4-I-IV-I-V7/V-V7sus4-I","blackbird","The Beatles","White Album","1968-11-22",1968,"Late"
"The Beatles","Blackbird","Chorus","Gdor",96,"F-C-dm-C-Bb-C-F-C-dm-C-Bb-A-dm7-gm","http://www.hooktheory.com/theorytab/view/the-beatles/blackbird","VII-IV-v-IV-III-IV-VII-IV-v-IV-III-V/v(maj)-v-i","VII-IV-v-IV-III-IV-VII-IV-v-IV-III-V/v(maj)-v7-i","blackbird","The Beatles","White Album","1968-11-22",1968,"Late"
"The Beatles","Yesterday","Verse","Fmaj",95,"F-em7-A7-dm-dm-Bb-C7-F-C-dm-G-Bb-F","http://www.hooktheory.com/theorytab/view/the-beatles/yesterday","I-vii/(lyd)-V/vi-vi-vi-IV-V-I-V-vi-V/V-IV-I","I-vii7/(lyd)-V7/vi-vi-vi-IV-V7-I-V-vi-V/V-IV-I","yesterday","The Beatles","Help!","1965-08-06",1965,"Early"
