"artist","song","song_parts","key","bpm","chords","link","roman"
"The Beatles","Hey Jude","Verse","Fmaj",76,"F-C-C7-C7sus4-C7-F-Bb-F-C-F","http://www.hooktheory.com/theorytab/view/the-beatles/hey-jude","I-V-V-V-V-I-IV-I-V-I"
"The Beatles","Hey Jude","Chorus","Fmaj",75,"F7-Bb-dm7-gm7-dm-C7-C7-F-F-Fmaj7-F7-Bb-dm7-gm7-dm-C7-C7-F-F7-C7-F","http://www.hooktheory.com/theorytab/view/the-beatles/hey-jude","V/IV-IV-vi-ii-vi-V-V-I-I-I-V/IV-IV-vi-ii-vi-V-V-I-V/IV-V-I"
"The Beatles","Hey Jude","Outro","Fmix",76,"F-Eb-Bb-F","http://www.hooktheory.com/theorytab/view/the-beatles/hey-jude","I-VII-IV-I"
"The Beatles","A Day in the Life","Verse","Gmaj",81,"G-G-em-em-C-C-am7-f#m7(b5)-G-bm-em-em-C-F-em-em-C-F-em-C-D","http://www.hooktheory.com/theorytab/view/the-beatles/a-day-in-the-life","I-I-vi-vi-IV-IV-ii-vii-I-iii-vi-vi-IV-IV/IV-vi-vi-IV-IV/IV-vi-IV-V"
"The Beatles","A Day in the Life","Bridge","Emaj",84,"E-E-E-D-D-D-D-D-D-E-B(add9)-E-B(add9)-B-E-E-D-D-D-D-D-D-E-B(add9)-E-B(add9)-C-G-D-A-E-C-G-D-A-E-D-C-D","http://www.hooktheory.com/theorytab/view/the-beatles/a-day-in-the-life","I-I-I-IV/IV-IV/IV-IV/IV-IV/IV-IV/IV-IV/IV-I-V-I-V-V-I-I-IV/IV-IV/IV-IV/IV-IV/IV-IV/IV-IV/IV-I-V-I-V-bVI(min)-bIII(min)-IV/IV-IV-I-bVI(min)-bIII(min)-IV/IV-IV-I-IV/IV-bVI(min)-IV/IV"
"The Beatles","Let It Be","Verse","Cmaj",75,"C-G-am-Fmaj7-F6-C-G-F-C-dm-C","http://www.hooktheory.com/theorytab/view/the-beatles/let-it-be","I-V-vi-IV-IV-I-V-IV-I-ii-I"
"The Beatles","Let It Be","Chorus","Cmaj",73,"am-G-F-C-G-F-C-dm-C","http://www.hooktheory.com/theorytab/view/the-beatles/let-it-be","vi-V-IV-I-V-IV-I-ii-I"
"The Beatles","Blackbird","Verse","Gmaj",96,"G-am7-G-G-C-c#o-D-d#o-em-Eb-D-c#o-C-cm-G-A7-D7sus4-G-C-G-A7-D7sus4-G","http://www.hooktheory.com/theorytab/view/the-beatles/blackbird","I-ii-I-I-IV-vii/V-V-vii/vi-vi-bVI(min)-V-vii/V-IV-iv(min)-I-V/V-V-I-IV-I-V/V-V-I"
"The Beatles","Blackbird","Chorus","Gdor",96,"F-C-dm-C-Bb-C-F-C-dm-C-Bb-A-dm7-gm","http://www.hooktheory.com/theorytab/view/the-beatles/blackbird","VII-IV-v-IV-III-IV-VII-IV-v-IV-III-V/v(maj)-v-i"
"The Beatles","Yesterday","Verse","Fmaj",95,"F-em7-A7-dm-dm-Bb-C7-F-C-dm-G-Bb-F","http://www.hooktheory.com/theorytab/view/the-beatles/yesterday","I-vii(lyd)-V/vi-vi-vi-IV-V-I-V-vi-V/V-IV-I"
"The Beatles","Yesterday","Chorus","Fmaj",95,"em-A-dm-dm-Bb-dm-gm7-C7-F-em-A-dm-dm-Bb-dm-gm7-C7-F","http://www.hooktheory.com/theorytab/view/the-beatles/yesterday","vii(lyd)-V/vi-vi-vi-IV-vi-ii-V-I-vii(lyd)-V/vi-vi-vi-IV-vi-ii-V-I"
"The Beatles","Here Comes the Sun","Verse","Amaj",128,"A-D-E-A-D-E","http://www.hooktheory.com/theorytab/view/the-beatles/here-comes-the-sun","I-IV-V-I-IV-V"
"The Beatles","Here Comes the Sun","Chorus","Amaj",128,"A-D-B7-A-D-A-bm7-bm7-A-E","http://www.hooktheory.com/theorytab/view/the-beatles/here-comes-the-sun","I-IV-V/V-I-IV-I-ii-ii-I-V"
"The Beatles","Here Comes the Sun","Bridge","Amaj",128,"E7-C-G-D-A-E7-E7","http://www.hooktheory.com/theorytab/view/the-beatles/here-comes-the-sun","V-bIII(min)-IV/IV-IV-I-V-V"
"The Beatles","Across the Universe","Verse","Dbmaj",80,"Db-bbm-fm-ebm7-Ab7-Db-bbm-fm-ebm7-gbm-gbm-Db-Ab7-Gb-Db","http://www.hooktheory.com/theorytab/view/the-beatles/across-the-universe","I-vi-iii-ii-V-I-vi-iii-ii-iv(min)-iv(min)-I-V-IV-I"
"The Beatles","While My Guitar Gently Weeps","Intro","Amin",114,"am-am-D(add9)-F-am-G-D-E","http://www.hooktheory.com/theorytab/view/the-beatles/while-my-guitar-gently-weeps","i-i-IV(maj)-VI-i-VII-IV(maj)-V(maj)"
"The Beatles","While My Guitar Gently Weeps","Verse","Amin",112,"am-am-D(add9)-F-am-G-D-E","http://www.hooktheory.com/theorytab/view/the-beatles/while-my-guitar-gently-weeps","i-i-IV(maj)-VI-i-VII-IV(maj)-V(maj)"
"The Beatles","While My Guitar Gently Weeps","Chorus","Amaj",128,"A-c#m-c#m-f#m-c#m-c#m-bm-bm-bm-bm-E","http://www.hooktheory.com/theorytab/view/the-beatles/while-my-guitar-gently-weeps","I-iii-iii-vi-iii-iii-ii-ii-ii-ii-V"
"The Beatles","Michelle","Verse","Fmaj",116,"F-F-F-bbm7-bbm7-E-b6-cm-dm6-bm7(b5)-C-bm7(b5)-C","http://www.hooktheory.com/theorytab/view/the-beatles/michelle","I-I-I-iv(min)-iv(min)-NA-NA-v(min)-vi-NA-V-NA-V"
