"artist","song","song_parts","key","bpm","chords","link","roman"
"The Beatles","Hey Jude","Verse","Fmaj",76,"F-C-C7-C7sus4-C7-F-Bb-F-C-F","http://www.hooktheory.com/theorytab/view/the-beatles/hey-jude",NA
"The Beatles","Hey Jude","Chorus","Fmaj",75,"F7-Bb-dm7-gm7-dm-C7-C7-F-F-Fmaj7-F7-Bb-dm7-gm7-dm-C7-C7-F-F7-C7-F","http://www.hooktheory.com/theorytab/view/the-beatles/hey-jude",NA
"The Beatles","Hey Jude","Outro","Fmix",76,"F-Eb-Bb-F","http://www.hooktheory.com/theorytab/view/the-beatles/hey-jude",NA
"The Beatles","A Day in the Life","Verse","Gmaj",81,"G-G-em-em-C-C-am7-f#m7(b5)-G-bm-em-em-C-F-em-em-C-F-em-C-D","http://www.hooktheory.com/theorytab/view/the-beatles/a-day-in-the-life",NA
"The Beatles","A Day in the Life","Bridge","Emaj",84,"E-E-E-D-D-D-D-D-D-E-B(add9)-E-B(add9)-B-E-E-D-D-D-D-D-D-E-B(add9)-E-B(add9)-C-G-D-A-E-C-G-D-A-E-D-C-D","http://www.hooktheory.com/theorytab/view/the-beatles/a-day-in-the-life",NA
"The Beatles","Let It Be","Verse","Cmaj",75,"C-G-am-Fmaj7-F6-C-G-F-C-dm-C","http://www.hooktheory.com/theorytab/view/the-beatles/let-it-be",NA
"The Beatles","Let It Be","Chorus","Cmaj",73,"am-G-F-C-G-F-C-dm-C","http://www.hooktheory.com/theorytab/view/the-beatles/let-it-be",NA
"The Beatles","Blackbird","Verse","Gmaj",96,"G-am7-G-G-C-c#o-D-d#o-em-Eb-D-c#o-C-cm-G-A7-D7sus4-G-C-G-A7-D7sus4-G","http://www.hooktheory.com/theorytab/view/the-beatles/blackbird",NA
"The Beatles","Blackbird","Chorus","Gdor",96,"F-C-dm-C-Bb-C-F-C-dm-C-Bb-A-dm7-gm","http://www.hooktheory.com/theorytab/view/the-beatles/blackbird",NA
"The Beatles","Yesterday","Verse","Fmaj",95,"F-em7-A7-dm-dm-Bb-C7-F-C-dm-G-Bb-F","http://www.hooktheory.com/theorytab/view/the-beatles/yesterday",NA
"The Beatles","Yesterday","Chorus","Fmaj",95,"em-A-dm-dm-Bb-dm-gm7-C7-F-em-A-dm-dm-Bb-dm-gm7-C7-F","http://www.hooktheory.com/theorytab/view/the-beatles/yesterday",NA
