"","artist","song","song_parts","chords","link"
"1","Tom Petty","Free Fallin'","Chorus","F-B-b(add9)-B-b(add9)-F-Csus4-F-B-b(add9)-B-b(add9)-F-Csus4","http://www.hooktheory.com/theorytab/view/tom-petty/free-fallin"
"2","Tom Petty And the Heartbreakers"," I Won't Back Down","Verse","em-D-G-em-D-G-em-D-C-em-D-G","http://www.hooktheory.com/theorytab/view/tom-petty-and-the-heartbreakers/-i-wont-back-down"
"3","Tom Petty And The Heartbreakers","I Won't Back Down","Verse","em-D-G-em-D-G-em-D-C-em-D-G","http://www.hooktheory.com/theorytab/view/tom-petty-and-the-heartbreakers/i-wont-back-down"
"4","Tom Petty And The Heartbreakers","I Won't Back Down","Pre-Chorus","G-C-G-C-G-D-G-C-G-D-G-C-G-D-em-D-G-em-D-G","http://www.hooktheory.com/theorytab/view/tom-petty-and-the-heartbreakers/i-wont-back-down"
"5","Tom Petty","Into The Great Wide Open","Verse","G-C-Dsus4-G-em-D-am-G-C-Dsus4-G-F-em-A","http://www.hooktheory.com/theorytab/view/tom-petty/into-the-great-wide-open"
"6","Tom Petty","Zombie Zoo","Chorus","em7-Asus2-A-em7-A-G6","http://www.hooktheory.com/theorytab/view/tom-petty-and-the-heartbreakers/mary-janes-last-dance"
"7","Tom Petty","Refugee","Chorus","Bb-F-C-F-Bb-F-C-Bb-F-C-F-Bb-F-C-F","http://www.hooktheory.com/theorytab/view/tom-petty/wildflowers"
"8","Tom Petty","Refugee","Bridge","Bb-dm7-dm-G-C-Bb-dm7-C","http://www.hooktheory.com/theorytab/view/tom-petty/wildflowers"
"9","Tom Petty and the Heartbreakers","Mary Jane's Last Dance","Intro","am-F-am-F-am-F-A-E-bm-E-A-E-bm-D","http://www.hooktheory.com/theorytab/view/tom-petty/zombie-zoo"
"10","Tom Petty and the Heartbreakers","Mary Jane's Last Dance","Chorus","E-f#m-D-E-f#m-D-E-f#m-D-E-A-D-A","http://www.hooktheory.com/theorytab/view/tom-petty/zombie-zoo"
"11","Tom Petty and the Heartbreakers","Mary Jane's Last Dance","Bridge","E-f#m-E-f#m-D","http://www.hooktheory.com/theorytab/view/tom-petty/zombie-zoo"
"12","Tom Petty and the Heartbreakers","Wildflowers","Chorus","f#m-A-E-f#m-A-E-f#m-A-E-f#m-A","http://www.hooktheory.com/theorytab/view/tom-petty-and-the-heartbreakers/refugee"
"13","Led Zeppelin","Tangerine","Verse","am-asus4-am-am(add9)-G-D-am-asus4-am-am(add9)-G-D-C-G-am-G-D-Dsus4-D-D(add9)-D-C-D-G","http://www.hooktheory.com/theorytab/view/led-zeppelin/tangerine"
"14","Led Zeppelin","Tangerine","Chorus","G-D-C-D-G-D-C-D","http://www.hooktheory.com/theorytab/view/led-zeppelin/tangerine"
"15","Led Zeppelin","Stairway to Heaven","Intro","am-E-C-D-Fmaj7-G-am-E-C-D-Fmaj7-G-am-C-D-Fmaj7-am-C-G-D-C-D-Fmaj7-am-C-G-Fmaj7","http://www.hooktheory.com/theorytab/view/led-zeppelin/stairway-to-heaven"
"16","Led Zeppelin","Communication Breakdown","Verse","E-D-A-D-E-D-A-D-E-D-A-D-E-D-A-D-E-D-A-D-E-D-A-D-E-D-A-D-E-D-A-D","http://www.hooktheory.com/theorytab/view/led-zeppelin/communication-breakdown"
"17","Led Zeppelin","Communication Breakdown","Chorus","A7-B7-E-D-A-D-E-D-A-D","http://www.hooktheory.com/theorytab/view/led-zeppelin/communication-breakdown"
"18","Led Zeppelin","Thank You","Intro","D-C-G-D-C-G-D","http://www.hooktheory.com/theorytab/view/led-zeppelin/thank-you"
"19","Led Zeppelin","Ten Years Gone","Instrumental","A-G-D-F-A","http://www.hooktheory.com/theorytab/view/led-zeppelin/ten-years-gone"
"20","Elvis Presley","Can't Help Falling In Love","Chorus","D-f#m-bm-G-D-A7-G-A-bm-em-D-A7-D","http://www.hooktheory.com/theorytab/view/elvis-presley/cant-help-falling-in-love"
"21","Elvis Presley","I Can't Help Falling In Love","Chorus","D-f#m-bm-G-D-A7-G-A-bm-em-D-A-D","http://www.hooktheory.com/theorytab/view/elvis-presley/i-cant-help-falling-in-love"
