"","artist","song","song_parts","chords","link"
"1","The Beatles","Hey Jude","Verse","F-C-C7-C7sus4-C7-F-Bb-F-C-F","http://www.hooktheory.com/theorytab/view/the-beatles/hey-jude"
"2","The Beatles","Hey Jude","Chorus","F7-Bb-dm7-gm7-dm-C7-C7-F-F-Fmaj7-F7-Bb-dm7-gm7-dm-C7-C7-F-F7-C7-F","http://www.hooktheory.com/theorytab/view/the-beatles/hey-jude"
"3","The Beatles","Hey Jude","Outro","F-Eb-Bb-F","http://www.hooktheory.com/theorytab/view/the-beatles/hey-jude"
"4","The Beatles","A Day in the Life","Verse","G-G-em-em-C-C-am7-f#m7(b5)-G-bm-em-em-C-F-em-em-C-F-em-C-D","http://www.hooktheory.com/theorytab/view/the-beatles/a-day-in-the-life"
"5","The Beatles","A Day in the Life","Bridge","E-E-E-D-D-D-D-D-D-E-B(add9)-E-B(add9)-B-E-E-D-D-D-D-D-D-E-B(add9)-E-B(add9)-C-G-D-A-E-C-G-D-A-E-D-C-D","http://www.hooktheory.com/theorytab/view/the-beatles/a-day-in-the-life"
"6","The Beatles","Let It Be","Verse","C-G-am-Fmaj7-F6-C-G-F-C-dm-C","http://www.hooktheory.com/theorytab/view/the-beatles/let-it-be"
"7","The Beatles","Let It Be","Chorus","am-G-F-C-G-F-C-dm-C","http://www.hooktheory.com/theorytab/view/the-beatles/let-it-be"
"8","The Beatles","Blackbird","Verse","G-am7-G-G-C-c#o-D-d#o-em-Eb-D-c#o-C-cm-G-A7-D7sus4-G-C-G-A7-D7sus4-G","http://www.hooktheory.com/theorytab/view/the-beatles/blackbird"
"9","The Beatles","Blackbird","Chorus","F-C-dm-C-Bb-C-F-C-dm-C-Bb-A-dm7-gm","http://www.hooktheory.com/theorytab/view/the-beatles/blackbird"
"10","the beatles","a hard day's night","Verse","F-em7-A7-dm-dm-Bb-C7-F-C-dm-G-Bb-F","http://www.hooktheory.com/theorytab/view/the-beatles/yesterday"
"11","the beatles","a hard day's night","Chorus","em-A-dm-dm-Bb-dm-gm7-C7-F-em-A-dm-dm-Bb-dm-gm7-C7-F","http://www.hooktheory.com/theorytab/view/the-beatles/yesterday"
"12","The Beatles","Yesterday","Verse","A-D-E-A-D-E","http://www.hooktheory.com/theorytab/view/the-beatles/here-comes-the-sun"
"13","The Beatles","Yesterday","Chorus","A-D-B7-A-D-A-bm7-bm7-A-E","http://www.hooktheory.com/theorytab/view/the-beatles/here-comes-the-sun"
"14","The Beatles","Yesterday","Bridge","E7-C-G-D-A-E7-E7","http://www.hooktheory.com/theorytab/view/the-beatles/here-comes-the-sun"
"15","The Beatles","Here Comes the Sun","Verse","bm-F#-G-em-bm-F#-em-bm-c#o-bm","http://www.hooktheory.com/theorytab/view/oleg-berg/let-it-be-in-minor-key--the-beatles"
"16","Oleg Berg","Let It Be in Minor Key -The Beatles","Verse","Db-bbm-fm-e-bm7-A-b7-Db-bbm-fm-e-bm7-g-bm-g-bm-Db-A-b7-Gb-Db","http://www.hooktheory.com/theorytab/view/the-beatles/across-the-universe"
"17","The Beatles","Across the Universe","Intro","am-am-D(add9)-F-am-G-D-E","http://www.hooktheory.com/theorytab/view/the-beatles/while-my-guitar-gently-weeps"
"18","The Beatles","Across the Universe","Verse","am-am-D(add9)-F-am-G-D-E","http://www.hooktheory.com/theorytab/view/the-beatles/while-my-guitar-gently-weeps"
"19","The Beatles","Across the Universe","Chorus","A-c#m-c#m-f#m-c#m-c#m-bm-bm-bm-bm-E","http://www.hooktheory.com/theorytab/view/the-beatles/while-my-guitar-gently-weeps"
"20","The Beatles","While My Guitar Gently Weeps","Verse","F-F-Fbbm7-b-bm7-E-b6-cm-dm6-bm7(b5)-C-bm7(b5)-C","http://www.hooktheory.com/theorytab/view/the-beatles/michelle"
"21","The Beatles","While My Guitar Gently Weeps","Chorus","fm-fm-fm-fm-fm-fm-A-b7-Db-C7-C7-fm-fm-fm-C-C-fm7-fm6-dm(b5)-b-bm-C","http://www.hooktheory.com/theorytab/view/the-beatles/michelle"
"22","The Beatles","Michelle","Verse","f#m-B-E-c#m-A-f#m-D-B-f#m-B-E-c#m-A-B7-E-E","http://www.hooktheory.com/theorytab/view/the-beatles/all-my-loving"
"23","The Beatles","Michelle","Solo","A-E-f#m-B-E","http://www.hooktheory.com/theorytab/view/the-beatles/all-my-loving"
"24","The Beatles","All My Loving","Verse","A-E-f#m-D-bm7-E-bm7-E-A-D-A-E","http://www.hooktheory.com/theorytab/view/the-beatles/oh-darling"
"25","The Beatles","All My Loving","Chorus","D-F-A-B-E-F-E-E","http://www.hooktheory.com/theorytab/view/the-beatles/oh-darling"
"26","The Beatles","Oh Darling","Verse","em-em-em-C-C-em","http://www.hooktheory.com/theorytab/view/the-beatles/eleanor-rigby"
"27","The Beatles","Oh Darling","Chorus","em7-em6-C-em-em7-em6-C-em","http://www.hooktheory.com/theorytab/view/the-beatles/eleanor-rigby"
"28","The Beatles","Eleanor Rigby","Intro","dm7-dm7-A7-G7","http://www.hooktheory.com/theorytab/view/the-beatles/come-together"
"29","The Beatles","Eleanor Rigby","Chorus","bm-bm-bm-bm-bm-bm-A-A-G-G-G-G-A","http://www.hooktheory.com/theorytab/view/the-beatles/come-together"
"30","The Beatles","Eleanor Rigby","Solo","dm-am-dm","http://www.hooktheory.com/theorytab/view/the-beatles/come-together"
"31","The Beatles","Come Together","Intro","B-B-f#m-G-F-E-E7-D-D-A-A7-C-D-E(add9)-A-A7-C-D-A-A-A7-f#m7(b5)-F-G-A-A7-F-B7-C-D-E","http://www.hooktheory.com/theorytab/view/the-beatles/i-am-the-walrus"
"32","The Beatles","I Am the Walrus","Verse","Db-Ab-Ab-Db-Db-D-b7-Gb-Gb-g-bm-Db-Bb-Eb-Ab-Db","http://www.hooktheory.com/theorytab/view/the-beatles/when-im-sixty-four"
"33","The Beatles","I Am the Walrus","Bridge","b-bm-Ab-bbm-b-bm-Fbbm-e-bm-Gb-Ab-Db-Ab-A-b7","http://www.hooktheory.com/theorytab/view/the-beatles/when-im-sixty-four"
"34","The Beatles","When I'm Sixty-Four","Intro","C-D-C-D-C-D-D7-G","http://www.hooktheory.com/theorytab/view/the-beatles/i-want-to-hold-your-hand"
"35","The Beatles","When I'm Sixty-Four","Verse","G-D-em-B-G-D-em-B","http://www.hooktheory.com/theorytab/view/the-beatles/i-want-to-hold-your-hand"
"36","The Beatles","When I'm Sixty-Four","Chorus","C-D-G-em-C-D-B-B7-C-D-G-G-G-G-G-G-G","http://www.hooktheory.com/theorytab/view/the-beatles/i-want-to-hold-your-hand"
"37","The Beatles","I Want To Hold Your Hand","Verse","f#m-c#m-f#m-c#m-f#m-c#m-A-B-E-E","http://www.hooktheory.com/theorytab/view/the-beatles/and-i-love-her"
"38","The Beatles","I Want To Hold Your Hand","Bridge","c#m-B-c#m-g#m-c#m-g#m-B-B7","http://www.hooktheory.com/theorytab/view/the-beatles/and-i-love-her"
"39","The Beatles","I Want To Hold Your Hand","Outro","gm-F-gm-D","http://www.hooktheory.com/theorytab/view/the-beatles/and-i-love-her"
"40","The Beatles","And I Love Her","Verse","B-B-g#m7-B-E6-c#m7-F#7-F#7-B-B-g#m7-B-bm7-g#m7(b5)-Gmaj7-F#7sus4-F#7-F#7sus4-F#7-B-B-g#m7-B-E6-c#m7-F#7-F#7-B-B-g#m7-B-bm7-g#m7(b5)-Gmaj7-F#7sus4-F#7-E","http://www.hooktheory.com/theorytab/view/the-beatles/penny-lane"
"41","The Beatles","And I Love Her","Chorus","A-A-D-D-A-A-D-F#7","http://www.hooktheory.com/theorytab/view/the-beatles/penny-lane"
"42","The Beatles","Penny Lane","Intro","A-E-A-E-f#m-A7-D-dm-A","http://www.hooktheory.com/theorytab/view/the-beatles/in-my-life"
"43","The Beatles","In My Life","Intro","G-D-G-D-G-D-G-D-G-D-G-D-G-D-G-D","http://www.hooktheory.com/theorytab/view/the-beatles/i-should-have-known-better"
"44","The Beatles","In My Life","Verse","G-D-G-D-G-D-G-D-G-D-em-C-D-G-D-G-D-G-D-G-D-G-D-G-D-G-D-em-C-C-B7-em-C-G-B7-em-C-G-Gmaj7-C-D-G-em-C-D-G","http://www.hooktheory.com/theorytab/view/the-beatles/i-should-have-known-better"
"45","The Beatles","I Should Have Known Better","Verse","Eb-Db-Ab-Eb-Bb-cm-F-Bb-Eb-Ab-Db-Gb-Eb-Bb-Eb-Ab-Db-Gb-Eb-Bb-Eb-cm-F7-Bb","http://www.hooktheory.com/theorytab/view/the-beatles/lovely-rita"
"46","The Beatles","I Should Have Known Better","Chorus","Bb-Ab-Eb-Bb","http://www.hooktheory.com/theorytab/view/the-beatles/lovely-rita"
"47","The Beatles","Lovely Rita","Verse","A(add9)-A(add9)-A(add9)-bm-E","http://www.hooktheory.com/theorytab/view/the-beatles/ticket-to-ride"
"48","The Beatles","Lovely Rita","Chorus","f#m-D-f#m-Gmaj7-f#m-E-A(add9-)","http://www.hooktheory.com/theorytab/view/the-beatles/ticket-to-ride"
"49","The Beatles","Lovely Rita","Bridge","D-E-E7-D-E-E","http://www.hooktheory.com/theorytab/view/the-beatles/ticket-to-ride"
"50","The Beatles","Lovely Rita","Outro","A(add9-)","http://www.hooktheory.com/theorytab/view/the-beatles/ticket-to-ride"
