"","artist","song","song_parts","chords","link"
"1","Taylor Swift","Shake It Off","Verse","C-G-am-C-F-G-F-G","http://www.hooktheory.com/theorytab/view/taylor-swift/shake-it-off"
"2","Taylor Swift","Shake It Off","Pre-Chorus","G-am-C-F-G-F-G","http://www.hooktheory.com/theorytab/view/taylor-swift/shake-it-off"
"3","Taylor Swift","Shake It Off","Chorus","am-C-F-G-F-G-am-C-F-G-F-G","http://www.hooktheory.com/theorytab/view/taylor-swift/shake-it-off"
"4","Taylor Swift","Blank Space","Verse","F-dm-Bb-C","http://www.hooktheory.com/theorytab/view/taylor-swift/blank-space"
"5","Taylor Swift","Blank Space","Pre-Chorus","F(add9)-dm7-gm7-B-b(add9-)","http://www.hooktheory.com/theorytab/view/taylor-swift/blank-space"
"6","Taylor Swift","Blank Space","Chorus","F(add9)-dm7-gm7-B-b(add9-)","http://www.hooktheory.com/theorytab/view/taylor-swift/blank-space"
"7","Taylor Swift","I Knew You Were Trouble","Verse","F#-C#-d#m-B-F#-C#-d#m","http://www.hooktheory.com/theorytab/view/taylor-swift/i-knew-you-were-trouble"
"8","Taylor Swift","I Knew You Were Trouble","Chorus","d#m-B-C#-F#-C#-d#m-B-C#-F#-C#-d#m-B-C#-F#-C#-d#m-B-C#-F#","http://www.hooktheory.com/theorytab/view/taylor-swift/i-knew-you-were-trouble"
"9","Taylor Swift","I Knew You Were Trouble","Bridge","F#-C#-B-d#m-B-C#","http://www.hooktheory.com/theorytab/view/taylor-swift/i-knew-you-were-trouble"
"10","Taylor Swift","Bad Blood","Intro","em-C-G-D-em-C-G-D","http://www.hooktheory.com/theorytab/view/taylor-swift/bad-blood"
"11","Taylor Swift","Bad Blood","Verse","em-D-em-D-em-D-em-D","http://www.hooktheory.com/theorytab/view/taylor-swift/bad-blood"
"12","Taylor Swift","Bad Blood","Chorus","em-C-G-D-em-C-G-D","http://www.hooktheory.com/theorytab/view/taylor-swift/bad-blood"
"13","Taylor Swift","22","Chorus","G-D-C-em-D-C-D-G-D-C-em-D-C-D-G-D-C-em-D","http://www.hooktheory.com/theorytab/view/taylor-swift/22"
"14","Taylor Swift","Eyes Open","Verse","G-D-em-C","http://www.hooktheory.com/theorytab/view/taylor-swift/eyes-open"
"15","Taylor Swift","Eyes Open","Chorus","Ab-Eb-fm-Db","http://www.hooktheory.com/theorytab/view/taylor-swift/eyes-open"
"16","Taylor Swift","Style","Intro","bm","http://www.hooktheory.com/theorytab/view/taylor-swift/style"
"17","Taylor Swift","Style","Verse","bm-Gmaj7-bm-Gmaj7-bm7-Gmaj7","http://www.hooktheory.com/theorytab/view/taylor-swift/style"
"18","Taylor Swift","Style","Pre-Chorus","em7-f#m7-Gmaj7","http://www.hooktheory.com/theorytab/view/taylor-swift/style"
"19","Taylor Swift","Style","Chorus","D-A-G-A-D-A-G-A-D-A-G-A-bm-A-G-A","http://www.hooktheory.com/theorytab/view/taylor-swift/style"
"20","Taylor Swift","Style","Bridge","","http://www.hooktheory.com/theorytab/view/taylor-swift/style"
"21","Taylor Swift","Love Story","Verse","D-G-bm","http://www.hooktheory.com/theorytab/view/taylor-swift/love-story"
"22","Taylor Swift","Love Story","Pre-Chorus","G-A-bm-D-G-A-bm7-G-A","http://www.hooktheory.com/theorytab/view/taylor-swift/love-story"
"23","Taylor Swift","Love Story","Chorus","D-A-bm-G-A","http://www.hooktheory.com/theorytab/view/taylor-swift/love-story"
"24","Taylor Swift","Love Story","Bridge","bm-G-D-A-bm-G-D-A","http://www.hooktheory.com/theorytab/view/taylor-swift/love-story"
